uuid,lat,long,time
Gengar,618267.44,132806.08,31.925
Gengar,624706.48,141706.24,342.033333333
Gengar,648526.48,142465.4,5.575
Gengar,633754.0,141786.52,101.504166667
Gengar,587128.8,127134.4,280.075
Gengar,598701.52,128409.56,211.575
Gengar,641062.96,137177.32,313.404166667
Gengar,595501.28,131554.24,139.275
Gengar,581055.6,123122.84,222.9625
Gengar,617149.04,127088.2,352.229166667
Gengar,607170.56,128265.04,350.641666667
Gengar,603559.36,124135.64,26.6125
Gengar,571058.4,125175.96,243.625
Gengar,569748.72,123720.76,61.0208333333
Gengar,680703.92,146664.0,169.666666667
Gengar,679868.8,143964.4,188.491666667
Gengar,590996.4,124313.64,226.520833333
Gengar,622139.28,124668.48,335.720833333
Gengar,644056.0,134598.4,357.858333333
Gengar,595935.76,130913.76,102.3
Gengar,595316.16,126458.8,105.85
Gengar,651882.48,141340.72,106.758333333
Gengar,651021.84,142464.96,271.141666667
Gengar,586220.4,126559.28,247.3875
Gengar,583147.68,126414.0,116.495833333
Gengar,656767.84,138290.04,229.554166667
Gengar,679492.64,144833.16,339.375
Gengar,679492.64,144833.16,339.375
Gengar,680047.92,147033.12,113.404166667
Gengar,647847.92,139304.4,161.683333333
Gengar,620301.92,126655.92,45.9166666667
Gengar,609334.4,130437.84,312.8875
Gengar,681792.8,147799.6,26.8916666667
Gengar,623740.16,125041.48,356.295833333
Gengar,621312.96,139141.28,239.866666667
Gengar,650248.08,139936.04,264.316666667
Gengar,611009.76,136896.44,22.4416666667
Gengar,571849.2,120353.16,358.666666667
Gengar,599497.92,120592.76,181.2375
Gengar,575681.92,125298.6,257.429166667
Gengar,683661.84,145317.76,48.2708333333
Gengar,646199.92,144047.36,322.045833333
Gengar,606943.04,133513.36,347.266666667
Gengar,606842.56,127145.76,73.2458333333
Gengar,610213.2,124966.56,346.558333333
Gengar,590114.4,125045.6,96.4458333333
Gengar,588187.04,120305.96,158.375
Gengar,616835.76,131768.08,270.058333333
Dragonite,606119.68,134393.6,127.275
Dragonite,621284.4,126612.6,76.9416666667
Dragonite,641062.96,137177.32,13.4083333333
Dragonite,604257.6,122685.12,350.254166667
Dragonite,604257.6,122685.12,357.754166667
Dragonite,677338.32,145069.24,18.9875
Dragonite,629216.0,127226.4,196.620833333
Dragonite,662904.72,142192.92,260.879166667
Dragonite,625074.16,127761.36,102.4375
Dragonite,598752.4,125734.24,153.675
Dragonite,598752.4,125734.24,321.470833333
Dragonite,645106.0,137027.16,167.979166667
Dragonite,661267.04,140666.4,243.975
Dragonite,644268.16,135984.6,346.8375
Dragonite,634207.6,139369.28,358.408333333
Dragonite,680837.2,148022.16,55.5541666667
Dragonite,640118.16,132540.68,239.25
Dragonite,664800.72,141633.0,235.054166667
Dragonite,642482.4,133344.8,313.308333333
Dragonite,598196.64,131583.44,318.025
Dragonite,667182.48,141564.2,221.379166667
Dragonite,693159.76,149827.84,59.9875
Dragonite,662422.56,138542.56,194.995833333
Dragonite,691994.0,148909.64,122.520833333
Dragonite,673715.6,141167.24,108.358333333
Dragonite,668507.2,143421.6,101.7375
Dragonite,689108.0,148070.8,238.170833333
Dragonite,613232.16,126633.52,46.6041666667
Dragonite,660317.6,145673.64,102.470833333
Dragonite,674616.8,142964.68,227.354166667
Dragonite,614814.88,123346.44,293.804166667
Dragonite,699412.32,148851.08,122.545833333
Dragonite,681788.0,146454.4,272.629166667
Dragonite,675940.8,146140.8,255.066666667
Dragonite,628404.0,138920.04,198.3125
Dragonite,622165.68,123975.84,276.733333333
Dragonite,593243.84,131058.36,347.645833333
Dragonite,662444.16,146123.28,228.3625
Dragonite,614440.8,123588.8,267.6375
Dragonite,662075.52,143470.12,241.5875
Dragonite,667365.04,142500.16,282.5125
Dragonite,632040.64,127545.64,55.0416666667
Dragonite,660421.84,138792.16,134.9375
Dragonite,604908.0,134809.76,37.3625
Dragonite,679731.92,148573.68,103.008333333
Dragonite,679731.92,148573.68,87.9291666667
Dragonite,601621.12,128308.04,1.02916666667
Dragonite,633345.92,138949.76,159.5375
Dragonite,667790.08,141577.2,281.275
Dragonite,626110.96,126184.88,86.9958333333
Dragonite,626110.96,126184.88,296.995833333
Dragonite,678411.92,143502.16,225.0
Dragonite,678411.92,143502.16,232.5
Dragonite,612437.92,123374.64,354.508333333
Dragonite,674616.8,142964.68,92.3541666667
Dragonite,610769.52,128086.4,349.629166667
Dragonite,632040.64,127545.64,174.129166667
Dragonite,632881.92,128568.8,121.1125
Dragonite,658662.32,140295.08,301.35
Dragonite,644846.4,136230.92,198.533333333
Dragonite,630695.12,140518.64,232.1375
Dragonite,690181.92,152321.04,136.325
Dragonite,620301.92,126655.92,150.916666667
Dragonite,647810.48,137015.48,175.645833333
Dragonite,645315.52,137600.96,205.25
Dragonite,645315.52,137600.96,10.2458333333
Dragonite,605028.4,124654.0,37.2166666667
Dragonite,680700.08,147108.52,301.075
Dragonite,630092.16,128665.68,239.591666667
Dragonite,626247.76,126369.08,26.975
Dragonite,681819.84,149864.28,217.820833333
Dragonite,681819.84,149864.28,10.7083333333
Dragonite,645032.0,133122.44,68.1791666667
Dragonite,626348.4,126291.84,356.975
Dragonite,628154.64,139444.72,349.483333333
Dragonite,602899.76,128074.76,292.3125
Dragonite,674452.96,141928.68,24.1958333333
Dragonite,639941.52,132937.48,346.716666667
Dragonite,680990.96,149096.72,300.720833333
Dragonite,599906.96,127721.72,15.3583333333
Dragonite,643989.52,132995.56,170.116666667
Dragonite,674499.2,145685.64,146.808333333
Dragonite,605329.92,135549.16,313.125
Dragonite,605329.92,135549.16,298.120833333
Dragonite,666198.0,145236.84,355.620833333
Dragonite,648362.32,134306.6,142.354166667
Dragonite,665869.6,143450.28,234.825
Dragonite,658432.8,138089.2,218.129166667
Dragonite,665300.0,143196.0,267.708333333
Dragonite,676357.2,144336.48,278.358333333
Dragonite,629047.68,129096.64,130.516666667
Dragonite,658046.24,139264.72,71.6541666667
Dragonite,598802.4,125637.6,273.675
Dragonite,672528.8,145834.88,10.7666666667
Dragonite,672528.8,145834.88,314.770833333
Dragonite,639966.4,130070.96,99.875
Dragonite,666798.56,143521.68,104.641666667
Dragonite,614600.8,138560.0,37.9041666667
Dragonite,684926.4,147719.6,351.420833333
Dragonite,610397.6,134091.2,322.175
Dragonite,618879.12,140140.64,48.4666666667
Dragonite,655811.44,137104.08,174.2
Dragonite,620026.88,123702.28,39.2291666667
Dragonite,670284.24,141439.68,127.766666667
Dragonite,634054.0,139200.24,208.666666667
Dragonite,651305.92,135492.08,71.6208333333
Dragonite,606925.76,135108.8,288.1875
Dragonite,614006.4,138967.6,296.4125
Dragonite,614006.4,138967.6,288.9125
Dragonite,604546.88,134601.48,66.1
Dragonite,619995.92,124422.4,203.416666667
Dragonite,693981.6,150856.8,186.25
Dragonite,603783.76,132439.4,128.758333333
Dragonite,660761.76,144517.76,90.3916666667
Dragonite,604054.48,124698.24,109.470833333
Dragonite,602997.92,134420.8,265.204166667
Dragonite,677264.08,144573.56,18.4166666667
Dragonite,641716.64,133533.92,135.425
Dragonite,641716.64,133533.92,127.925
Dragonite,602918.72,127055.2,204.641666667
Dragonite,676303.28,144373.92,212.054166667
Dragonite,662673.84,144425.76,294.6
Dragonite,601273.36,128998.44,292.116666667
Dragonite,662910.56,139722.36,358.1375
Dragonite,662910.56,139722.36,163.1375
Dragonite,677218.4,143468.4,176.320833333
Dragonite,639730.56,130094.56,222.675
Dragonite,655399.92,141681.2,207.841666667
Dragonite,647292.0,133950.0,328.716666667
Dragonite,682728.32,145027.48,186.729166667
Dragonite,618754.16,139057.28,280.466666667
Dragonite,681226.4,147638.0,340.1875
Dragonite,681245.6,143814.0,262.658333333
Dragonite,664998.4,143625.64,184.679166667
Dragonite,607793.6,136253.2,262.425
Dragonite,644535.84,136049.16,35.2291666667
Dragonite,649895.04,135177.72,160.520833333
Dragonite,681064.0,145049.44,287.479166667
Dragonite,634718.8,135404.6,56.6541666667
Gyarados,622103.36,133281.92,220.704166667
Gyarados,621086.56,123556.64,30.2333333333
Gyarados,650052.72,144458.8,165.354166667
Gyarados,588118.56,120769.96,161.766666667
Gyarados,592122.0,124436.72,177.241666667
Gyarados,643111.6,139778.04,268.908333333
Gyarados,611954.08,129954.44,247.425
Gyarados,580481.92,131109.24,61.0375
Gyarados,568260.96,125665.04,58.925
Gyarados,568260.96,125665.04,270.675
Gyarados,612611.2,120833.44,92.0791666667
Gyarados,599831.84,133309.24,212.120833333
Gyarados,627034.08,134404.4,172.054166667
Gyarados,627034.08,134404.4,346.1875
Gyarados,613810.88,139970.24,229.0375
Gyarados,613909.68,121313.44,24.0875
Gyarados,628863.2,125780.4,359.5625
Gyarados,628863.2,125780.4,43.3125
Gyarados,593569.12,123097.76,176.970833333
Gyarados,630160.96,144521.72,22.5416666667
Gyarados,615549.2,120969.64,329.058333333
Gyarados,573773.2,129207.52,204.954166667
Gyarados,599376.96,132534.08,261.666666667
Gyarados,567708.4,125489.88,249.629166667
Gyarados,626873.52,134359.84,111.6
Gyarados,587643.6,130243.24,334.525
Gyarados,631218.88,145096.6,137.6
Gyarados,587926.16,130174.76,102.158333333
Gyarados,611485.92,120429.84,218.625
Gyarados,622793.28,135637.48,280.35
Muk,603443.36,131128.72,354.641666667
Muk,569741.12,127720.96,191.675
Muk,598451.12,128738.56,295.2375
Muk,594521.92,126960.04,65.5583333333
Muk,616835.76,131768.08,304.758333333
Muk,578802.16,123242.72,92.1
Muk,628404.0,138920.04,348.316666667
Muk,651193.68,140259.4,9.09583333333
Muk,608290.72,125610.24,233.933333333
Muk,581639.2,123635.6,84.0416666667
Muk,606111.92,126640.72,118.0875
Muk,613629.6,131771.16,323.15
Muk,631665.2,130823.92,269.979166667
Muk,643077.6,137313.2,246.8125
Muk,629630.4,139590.4,265.3375
Muk,597063.44,130540.16,185.875
Muk,648038.32,139139.76,231.95
Muk,601273.36,128998.44,112.116666667
Muk,601273.36,128998.44,112.1125
Muk,604279.12,124854.12,19.375
Muk,586727.76,121616.6,34.3875
Muk,652010.4,143388.4,176.416666667
Muk,576647.12,121263.4,28.7833333333
Muk,598467.84,127052.12,161.3375
Muk,614770.64,135221.28,257.858333333
Muk,660068.56,142529.28,163.491666667
Muk,660068.56,142529.28,155.991666667
Muk,619914.96,138569.8,165.2875
Muk,615632.72,123027.48,211.045833333
Muk,572742.24,120076.92,89.4791666667
Muk,610651.44,125100.64,215.270833333
Muk,618267.44,132806.08,154.383333333
Muk,691405.6,149098.84,304.625
Muk,626853.6,137611.6,145.2125
Muk,630033.28,139972.76,148.041666667
Muk,654771.6,138828.44,317.220833333
Muk,627293.44,141718.12,152.525
Muk,604596.4,123341.4,165.975
Muk,626733.12,137098.72,217.979166667
Muk,635747.68,145466.88,86.2083333333
Machamp,631920.24,130737.6,164.8625
Machamp,691954.96,147338.0,71.1416666667
Machamp,642551.2,141963.6,213.0375
Machamp,608644.8,129058.84,0.35
Machamp,654735.92,139394.96,134.254166667
Machamp,571620.24,123263.12,174.75
Machamp,609010.8,134225.68,192.254166667
Machamp,683251.2,144513.92,298.554166667
Machamp,674396.88,145105.52,217.520833333
Machamp,676098.32,144317.52,48.7375
Machamp,662673.84,144425.76,189.6
Machamp,680439.6,145712.92,241.4875
